주택유형,점유형태,주택나이,이사계획,공공임대주택입주의향,월평균가구소득,생활비,총자산,총부채,최종학력,주거지원1,주거지원2
6,2,6,2,1,150,100,11300,0,1,5,6
2,2,7,3,1,70,60,5000,0,2,3,7
2,2,7,3,1,131,80,9999999,0,1,2,3
2,3,8,3,1,52,45,200,0,3,6,1
2,3,9,1,1,50,50,300,0,3,1,2
4,1,6,2,2,700,300,156000,0,4,7,8
2,2,8,2,1,200,80,10000,0,3,2,6
9,4,6,2,1,60,55,300,0,2,7,2
2,3,5,2,1,300,250,7500,2000,3,2,3
4,1,5,2,1,140,140,106000,0,4,2,6
1,1,8,1,2,200,100,45000,0,4,3,4
4,3,7,2,1,52,50,400,0,2,1,6
4,1,8,2,1,9999999,350,9999999,0,4,6,5
6,1,7,2,1,330,100,38000,0,3,5,7
4,1,6,2,2,610,300,76000,5000,3,3,4
4,3,7,2,2,100,90,3500,0,2,1,2
5,1,6,2,2,600,300,45000,0,4,3,5
1,2,8,2,1,400,218,12000,0,3,1,2
2,3,7,2,1,350,150,1500,0,3,2,6
2,3,7,2,2,180,140,1800,0,3,2,1
2,3,8,2,1,220,150,2300,1000,3,6,2
2,3,8,3,1,54,30,600,0,2,6,4
4,1,8,2,2,400,250,213000,0,4,4,7
4,1,2,2,2,600,300,103000,10000,4,3,4
4,2,5,2,2,210,120,32000,0,3,2,3
2,1,2,2,2,480,300,41800,2000,3,4,3
2,3,8,2,1,200,200,600,0,2,2,1
1,2,8,3,1,30,15,2000,0,1,6,2
2,3,7,3,1,340,180,9999999,0,2,2,1
4,3,6,2,1,200,190,2300,500,4,1,6
6,2,8,2,1,50,150,3500,0,3,6,8
10,3,8,1,1,150,100,600,1000,2,1,3
2,2,8,3,1,150,150,6000,0,2,2,6
2,3,7,2,1,250,150,1000,0,2,1,7
9,4,6,2,1,56,55,0,0,2,7,2
4,2,7,2,1,100,90,4500,0,2,1,8
4,1,6,2,2,100,90,27500,0,1,8,4
5,2,8,2,1,225,150,20000,0,1,3,2
4,1,7,2,2,200,100,67300,0,3,2,3
4,1,8,1,2,500,250,78800,15000,5,3,7
6,1,7,2,2,400,240,30900,0,3,3,4
10,7,8,2,1,220,180,180,0,3,6,7
6,1,5,2,2,200,160,22900,0,3,3,5
2,3,6,2,2,60,55,1300,0,1,1,8
6,1,5,1,1,220,120,17400,0,3,7,4
2,2,8,1,1,200,200,15000,0,2,2,6
2,4,7,2,1,150,100,0,0,3,6,1
6,1,6,2,1,331,100,42400,10000,3,3,10
2,2,8,2,2,100,100,3800,3800,3,2,3
6,1,3,2,1,300,200,31800,1000,2,3,7
2,3,7,2,1,650,500,13900,0,3,2,3
2,2,8,2,1,310,190,14100,0,3,6,7
6,3,5,3,1,300,180,13000,0,3,3,6
6,2,9,2,2,180,80,5780,0,3,2,4
9,4,7,3,1,60,60,0,0,2,6,2
9,4,6,2,1,80,70,0,0,2,5,7
2,3,8,2,1,300,100,1000,0,3,2,3
6,2,5,2,2,500,200,12000,0,3,3,6
8,2,2,2,1,500,100,44000,25000,4,2,3
4,1,7,2,1,110,100,40500,0,2,4,7
1,1,8,2,1,230,200,9999999,0,3,2,3
4,1,6,2,2,380,240,61000,0,3,3,4
4,1,6,2,1,9999999,300,9999999,10000,4,6,5
4,1,5,2,2,500,300,69000,0,3,3,2
4,2,5,3,1,540,490,64000,8000,4,3,6
2,2,3,2,1,300,250,9000,0,3,2,8
2,3,8,2,1,150,120,9999999,0,2,1,6
2,3,7,3,1,45,45,2900,0,1,2,6
4,1,4,2,2,400,300,55000,0,5,3,5
4,3,7,2,1,350,250,6800,0,2,5,6
4,1,6,3,2,1500,500,835000,90000,4,3,8
6,3,6,3,1,360,250,1500,0,3,1,2
6,3,6,2,1,210,100,7500,0,4,6,8
4,1,2,2,2,410,250,95500,11000,3,3,4
5,1,8,2,2,500,200,45000,0,5,5,6
8,3,8,2,1,180,150,500,0,2,2,6
2,3,6,2,1,200,150,1000,0,1,6,8
4,3,2,2,1,160,130,1900,0,1,1,6
5,2,2,3,1,500,300,35000,5000,3,2,3
1,5,9,3,1,180,100,0,0,1,6,5
2,3,6,2,1,9999999,300,1000,0,3,1,6
3,1,4,2,2,200,160,41100,8900,3,2,3
2,4,6,2,1,150,120,0,0,3,1,6
4,2,6,1,1,500,300,20000,0,4,2,3
8,3,8,2,1,250,150,1000,0,4,6,5
4,3,7,2,1,480,250,1500,0,3,6,1
4,1,8,2,1,700,250,76200,19000,3,3,7
2,2,8,1,2,300,250,7500,0,3,3,2
2,1,8,2,2,400,200,50650,30000,4,4,3
4,2,9,2,2,70,70,4700,0,2,6,5
4,1,8,3,1,400,280,97000,8000,3,3,6
4,1,4,2,2,250,160,33000,0,3,2,3
4,3,3,2,1,400,300,2500,0,3,2,5
6,1,3,2,1,500,300,28700,5000,3,3,5
6,7,6,2,1,180,150,0,0,3,5,6
4,3,3,2,1,9999999,160,2850,0,2,7,6
5,1,3,2,2,450,300,36400,5000,3,3,4
6,1,6,2,1,350,280,12200,0,3,6,3
4,1,4,2,2,500,300,65000,10000,4,4,8
4,1,5,2,2,700,450,102500,24000,3,2,3
2,2,6,2,1,58,60,5000,600,1,6,10
2,3,7,2,1,150,150,1000,0,1,6,5
2,1,6,2,2,300,200,9999999,20000,3,4,6
2,2,7,2,1,350,210,14900,1500,3,6,7
5,2,8,2,1,45,50,7300,0,1,6,5
6,2,2,1,1,400,200,11000,0,3,2,7
9,4,8,2,1,220,9999999,1000,0,2,6,7
2,1,7,2,2,430,250,58600,4000,4,3,4
4,3,8,2,2,300,200,36500,10000,4,2,5
6,1,2,2,1,500,150,45000,14000,4,2,3
6,2,5,2,2,300,140,18000,0,3,3,4
6,3,8,2,1,150,120,2700,100,2,6,5
2,2,8,2,1,75,75,11000,0,1,2,6
5,2,8,3,1,150,150,9999999,0,1,6,5
2,3,6,3,1,250,150,1500,0,3,2,6
4,3,7,2,1,300,200,1000,5000,4,6,1
9,4,6,2,1,56,55,0,0,2,2,1
5,7,8,2,1,30,30,0,0,1,5,6
4,3,7,2,1,350,120,3000,0,4,6,1
4,1,6,2,1,600,400,9999999,0,4,5,10
2,3,7,2,1,310,200,900,0,3,2,6
4,1,5,2,2,650,300,123000,20000,3,4,3
5,2,8,2,1,230,150,9500,9500,2,5,6
2,2,9,2,2,200,150,29300,5000,3,2,3
4,2,3,2,1,300,150,14600,0,3,6,7
2,2,6,2,2,300,200,16000,5000,3,3,2
2,3,6,2,1,100,70,500,0,3,5,7
3,1,3,2,2,780,400,53000,0,4,7,6
4,3,5,2,1,250,150,2335,0,3,2,3
2,2,8,2,2,320,150,18000,0,3,2,3
2,3,7,3,1,60,50,7700,7000,3,1,2
6,1,3,2,2,230,120,25000,4700,3,3,4
2,3,7,2,1,400,250,1700,0,2,6,7
2,2,9,3,1,400,200,9999999,0,3,2,3
4,1,6,2,2,600,260,45800,15000,3,3,8
4,2,6,2,2,800,300,47000,0,4,3,8
2,2,7,3,1,150,60,9999999,0,2,2,6
5,2,5,2,1,400,150,25000,0,3,5,6
2,3,7,2,1,90,80,1300,0,2,6,5
2,3,8,2,1,55,50,300,0,1,2,6
3,4,9,3,1,200,150,2000,0,4,2,5
6,2,9,2,2,450,200,14800,5000,3,5,6
1,3,8,2,1,50,50,2000,0,2,2,3
9,4,8,2,1,90,80,0,700,2,1,6
1,3,5,3,1,750,200,1500,0,3,2,7
2,3,7,3,1,9999999,100,9999999,0,2,6,5
6,2,8,2,1,431,431,27000,2000,2,3,2
2,2,7,2,1,100,150,15500,5000,3,2,5
2,3,7,2,1,30,80,1900,0,3,2,7
5,2,8,2,2,480,180,67000,0,3,3,4
6,2,2,2,1,300,200,60000,0,4,5,6
9,4,8,2,1,200,130,500,2000,3,6,5
9,4,9,2,1,100,100,100,0,2,1,6
5,1,8,2,1,200,80,45000,10000,3,6,5
4,1,7,2,2,60,60,40200,0,1,8,4
4,3,7,2,1,225,100,1190,0,1,6,7
4,3,7,2,1,560,180,1500,0,3,4,1
2,7,8,2,1,200,200,0,0,4,1,7
2,1,7,2,2,330,130,25000,0,3,3,4
4,1,4,2,2,300,250,70000,0,4,4,8
2,3,7,2,1,200,150,350,0,2,2,6
2,2,6,2,1,50,45,4500,0,1,5,2
4,3,4,2,1,187,100,6500,0,2,6,7
9,4,8,2,1,65,60,0,0,2,8,7
1,2,8,2,1,56,60,1500,0,2,7,6
4,3,8,2,1,600,300,3000,0,3,2,1
2,3,7,3,1,55,55,2000,0,1,1,6
6,1,7,2,2,200,150,33500,7000,3,2,3
2,3,9,1,1,300,80,2800,0,3,5,2
5,1,8,2,1,200,200,30000,10000,3,2,3
2,3,8,2,1,50,50,2000,0,2,2,3
4,3,3,2,1,200,200,4000,2500,3,6,7
2,3,7,3,1,300,200,3500,0,3,2,6
2,3,8,2,1,200,180,600,0,3,2,6
9,4,6,2,1,170,150,0,0,3,2,1
6,1,7,2,1,230,70,38500,0,3,6,2
2,3,5,2,1,50,50,400,0,2,6,7
2,2,6,3,1,130,130,7000,0,4,6,7
4,1,4,2,2,400,250,73800,15000,4,3,10
7,3,5,1,1,400,300,11000,0,3,3,6
9,4,8,2,1,200,150,0,0,2,1,6
2,3,8,2,1,390,220,2000,0,2,1,2
2,3,8,2,1,200,180,2000,0,3,7,2
2,3,8,2,1,200,180,2500,0,3,2,6
2,3,7,2,1,150,150,1000,0,3,1,2
2,3,6,3,1,230,150,1000,0,3,2,6
4,2,7,2,2,700,400,137000,55000,4,3,10
5,1,5,2,1,400,300,44000,0,4,3,7
6,3,8,2,1,300,250,7500,2000,3,6,2
6,3,3,1,1,200,100,3500,0,3,4,3
6,2,6,2,1,56,50,8100,7550,1,7,6
9,4,6,2,1,120,100,2000,0,3,2,7
2,2,9,2,1,450,400,12900,0,3,7,6
3,3,8,2,2,250,150,1300,0,3,2,6
4,2,8,2,2,600,280,55000,0,3,3,4
5,2,3,2,1,800,300,38000,0,5,6,5
6,1,5,2,2,500,300,40000,5000,3,3,5
6,2,9,3,2,700,300,114000,45000,3,7,3
6,2,7,2,1,80,70,13000,11500,2,2,6
2,1,7,2,2,200,150,21100,5000,3,3,8
2,4,8,2,1,250,120,0,0,3,1,2
4,2,5,3,2,9999999,200,9999999,30000,4,2,3
4,2,5,2,1,720,300,76000,0,4,7,6
5,2,8,2,1,210,160,10000,10000,3,5,6
8,3,3,2,1,500,200,20500,0,3,3,7
9,4,5,2,1,130,100,300,0,3,6,5
4,3,7,2,1,102,50,600,0,3,1,6
2,3,8,2,1,200,200,8300,0,2,6,5
2,2,8,3,1,9999999,150,9999999,0,3,3,2
1,3,6,2,2,60,50,300,0,3,1,2
2,2,7,2,2,270,200,18800,0,4,5,6
4,2,5,2,1,200,150,5946,0,3,2,3
2,2,8,2,2,400,350,18000,0,3,7,3
6,3,3,2,1,0,150,5000,0,4,2,3
4,3,3,2,1,100,200,11000,0,3,6,7
6,2,5,1,2,800,300,9999999,30000,3,3,2
6,1,3,1,2,550,550,9999999,9000,3,2,3
6,3,3,2,1,150,100,4000,0,3,1,5
6,2,3,2,1,150,150,20000,0,1,5,6
6,3,2,2,1,9999999,80,700,500,2,1,6
2,3,7,2,1,200,70,3000,0,3,1,4
6,3,2,2,1,200,150,9000,9000,2,1,8
3,4,9,2,1,400,180,9999999,0,4,2,1
4,2,7,3,2,300,160,57000,0,3,7,10
6,3,7,2,1,350,250,1000,0,3,5,6
2,2,9,2,1,150,300,82000,0,3,3,5
