수도권여부,연도,주택유형,점유형태,보유주택,주택나이,주택면적,만족도,이사계획,내집보유에대한생각,공공임대주택입주의향,가구주출생연도,총가구원수,월평균가구소득,생활비,주거관리비부담정도,총자산,총부채,최종학력,최종가중치,주거지원프로그램1,주거지원프로그램2
1,2017,1,3,2,8,33,2,2,1,2,1949,1,30,50,1,200,0,1,196.5363549,6,5
1,2017,6,1,2,6,56.1,3,2,1,2,1954,3,200,200,2,30200,3400,3,305.2264262,4,3
1,2017,9,4,2,8,5,3,2,2,2,1955,1,150,80,1,0,0,3,219.6834117,1,2
1,2019,5,1,2,3,79.2,3,2,1,2,1946,2,250,200,2,38000,0,2,170.6516684,3,4
1,2019,9,4,2,8,5,3,2,1,1,1958,1,80,40,1,0,2000,1,369.3400858,1,6
1,2020,9,4,2,8,5,3,2,2,1,1945,1,70,70,4,500,0,4,278.7473988,1,6
1,1983,1,1,2,8,66,2,2,1,2,1943,3,250,200,2,43500,0,1,122.9431194,3,2
1,1988,4,1,2,8,59.4,3,2,1,2,1945,3,300,250,2,89500,0,2,382.8618419,3,2
1,1995,1,1,2,9,42.9,2,3,1,2,1948,2,83,80,3,20000,0,3,178.2225542,8,4
1,2000,2,3,2,7,42.9,3,1,2,2,1949,2,170,110,1,2500,0,2,328.8594356,2,6
1,2000,5,1,2,8,56.1,3,2,1,1,1949,4,770,500,3,10400,0,3,154.1172091,7,5
1,2001,4,1,2,5,105.6,3,2,1,2,1948,2,158,150,3,73500,0,3,412.7722873,2,3
1,2010,2,3,2,8,56.1,3,2,2,1,1947,2,125,100,1,2100,0,2,328.8594356,3,2
1,2013,5,1,2,3,75.9,4,2,1,2,1950,2,300,200,3,45000,0,3,135.364907,3,2
1,2014,4,2,2,3,50.8,4,2,1,1,1958,2,190,150,1,9999999,0,1,463.5729498,6,7
1,2015,2,3,2,3,19.8,3,2,2,1,1949,1,120,100,2,1500,0,2,384.9314077,2,1
1,2015,2,3,2,7,39.6,1,3,1,1,1948,2,104,100,1,1500,100,1,328.8594356,1,2
1,2015,6,2,2,6,42.9,2,2,1,2,1951,1,80,70,1,6000,0,1,298.1247926,1,8
1,2016,2,3,2,8,23.1,3,2,2,1,1948,1,110,70,1,550,0,2,397.739979,2,7
1,2017,2,2,2,6,23.1,2,2,1,1,1941,1,60,50,1,5200,0,1,228.9666583,6,7
1,2017,6,1,2,4,52.8,3,2,1,2,1950,2,62,60,2,25500,5000,1,300.7903219,3,2
1,2017,6,3,2,7,42.9,2,2,1,1,1937,1,60,60,1,250,0,1,246.9362458,6,10
1,2018,1,2,2,8,99,3,3,1,2,1948,3,9999999,150,3,9999999,0,1,100.7510369,2,3
1,2018,2,1,2,3,66,3,2,1,2,1949,3,530,250,3,94500,19000,2,323.4475977,3,4
1,2018,9,4,2,8,5,3,2,1,1,1956,1,80,20,1,0,3000,2,369.3400858,1,6
1,2019,2,3,2,5,19.8,3,2,2,1,1946,1,190,170,2,2000,0,2,361.5817991,5,6
1,2019,2,2,2,9,26.4,3,3,1,1,1952,2,9999999,150,2,9999999,0,2,391.6335883,2,3
1,2019,2,3,2,6,33,2,3,1,1,1944,1,57,70,1,500,0,1,349.9376434,2,6
1,2019,4,1,2,6,59.4,3,2,1,2,1952,2,180,160,2,73000,0,3,565.6825603,3,4
1,2020,1,2,2,8,36.3,2,3,2,1,1958,1,69,60,1,8000,8000,1,234.052089,1,6
1,1990,6,1,2,8,38.9,3,2,1,1,1950,4,385,250,2,16500,1100,2,271.6467138,6,7
1,2007,6,1,2,5,49.5,3,2,1,1,1957,1,100,100,2,9999999,0,2,482.0237313,6,3
1,2011,4,2,2,3,60.1,3,2,1,1,1937,2,160,100,2,12200,0,1,267.5398123,6,7
1,2012,4,3,2,4,39.6,3,2,2,1,1947,1,60,60,2,7000,700,3,348.4235141,5,6
1,2013,6,1,2,5,40.3,3,2,1,1,1948,2,188,120,2,22500,500,2,310.7991032,6,5
1,2013,6,2,2,3,59.4,3,2,1,1,1950,3,100,70,2,7550,7000,1,221.0518082,1,2
1,2014,6,3,2,7,33,3,2,2,1,1932,1,50,50,1,500,0,1,246.7336803,2,1
1,2015,2,2,2,8,19.8,1,2,2,1,1950,2,280,130,2,1500,0,1,305.4078586,5,6
1,2015,9,4,2,8,5,3,2,1,1,1959,1,150,50,1,0,0,2,369.3400858,1,2
1,2016,2,3,2,4,13.2,3,2,1,1,1948,1,230,120,2,500,0,3,397.739979,6,5
1,2017,1,7,2,9,62.7,3,2,1,1,1944,2,225,110,3,7000,0,1,252.1365014,6,7
1,2018,4,3,2,4,42.9,3,2,1,1,1947,1,60,80,2,2100,1500,5,348.4235141,2,6
1,1992,2,1,2,7,66,3,2,1,2,1949,2,40,120,3,9999999,0,2,277.4442066,4,6
1,1997,4,2,2,6,33,3,2,2,1,1947,2,200,100,1,3600,0,2,338.2640376,6,5
1,2000,1,1,2,8,72.6,3,3,1,2,1951,4,840,250,2,103500,2500,3,155.7712705,4,3
1,2001,4,1,2,5,105.6,3,2,1,2,1949,2,325,200,3,77500,0,3,412.7722873,3,2
1,2002,4,1,2,5,75.9,3,2,1,2,1948,4,400,300,2,72000,0,2,373.1486424,3,2
1,2003,5,1,2,5,79.2,4,2,1,2,1943,2,500,250,3,56000,0,4,135.364907,2,3
1,2003,6,1,2,5,56.1,3,2,1,1,1946,2,84,84,2,21900,6000,1,300.7903219,6,7
1,2004,6,1,2,5,62.7,3,2,1,2,1953,5,590,350,2,26900,0,3,348.3406673,3,4
1,2005,4,1,2,4,84.8,3,2,1,2,1953,2,200,200,2,81000,0,3,565.6825603,3,8
1,2008,4,1,2,7,84.8,3,2,1,1,1952,2,255,180,2,44500,0,2,565.6825603,4,8
1,2010,2,3,2,7,49.5,3,2,1,1,1952,1,48,80,2,450,0,3,404.5707876,5,6
1,2014,9,4,2,9,6.6,3,3,2,2,1951,1,9999999,9999999,3,9999999,8000,3,278.7473988,1,6
1,2015,9,4,2,8,5,3,2,1,1,1958,1,100,80,1,0,0,2,219.6834117,1,2
1,2016,4,3,2,4,39.6,3,2,1,1,1948,2,98,100,3,6000,0,4,288.0835879,5,6
1,2016,5,1,2,4,59.4,2,2,1,1,1947,3,300,150,2,34000,0,3,121.3922626,5,6
1,2016,6,1,2,6,36.3,2,2,1,1,1955,1,150,120,2,12000,5500,2,482.0237313,6,5
1,2017,2,3,2,6,23.1,3,2,1,1,1952,1,140,100,2,300,0,3,510.0338148,1,6
1,2017,3,3,2,9,33,2,2,1,1,1949,1,180,160,2,600,0,3,361.5817991,2,1
1,2017,9,4,2,6,5,3,2,2,1,1936,1,60,55,4,0,0,1,780.9785304,7,2
1,2019,2,3,2,7,29.7,3,2,2,1,1931,1,45,40,2,3700,0,1,384.9314077,1,2
1,2019,5,1,1,2,59.4,3,3,1,2,1949,2,90,50,3,64500,0,2,131.2705142,3,2
1,1993,10,7,2,8,33,2,3,2,1,1953,2,220,190,3,450,0,3,314.8770662,8,6
1,2000,1,1,2,8,75.9,2,2,1,2,1951,2,200,160,3,80000,0,3,136.981812,4,8
1,2007,2,2,2,9,52.8,3,3,1,1,1943,1,42,30,2,2500,0,1,357.4812342,6,2
1,2011,4,2,2,3,46.2,4,2,1,1,1942,1,52,52,2,5500,0,2,423.1471334,2,5
1,2013,4,3,2,4,42.9,4,2,1,1,1954,1,65,100,2,2000,0,1,461.6608843,6,10
1,2014,2,3,2,7,33,3,2,1,1,1949,2,98,100,3,5000,0,2,252.4584777,2,6
1,2018,2,2,2,8,49.5,3,2,2,1,1950,1,67,65,1,9000,8550,3,369.3764025,2,6
1,2020,2,3,2,8,29.7,3,2,1,1,1948,1,60,60,2,1500,0,2,305.3366234,3,2
1,2020,4,3,2,8,39.6,2,1,1,1,1954,1,120,100,2,1000,0,4,448.6040788,2,3
1,1986,5,1,2,8,69.3,2,3,1,1,1951,2,155,150,2,9999999,7000,2,123.0590064,5,6
1,1988,1,1,2,8,79.2,4,2,1,1,1950,2,400,400,2,30000,2000,3,178.2225542,3,4
1,1992,4,3,2,7,36.3,3,2,1,1,1950,1,97,50,2,700,0,3,348.4235141,1,6
1,2002,6,1,2,5,105.6,3,2,1,2,1952,3,500,350,2,105000,70000,4,283.5044946,7,3
1,2005,2,2,2,7,33,3,2,1,1,1947,2,250,200,2,3000,0,2,305.4078586,7,6
1,2010,5,1,2,3,79.2,4,2,1,2,1953,4,350,200,3,20000,0,4,156.7640266,3,7
1,2011,11,2,2,8,26.4,2,2,1,1,1960,2,200,150,3,11800,0,3,84.80185338,2,5
1,2011,2,3,2,7,49.5,3,2,1,1,1956,1,30,50,2,400,0,1,404.5707876,6,5
1,2013,2,1,2,7,66,3,2,1,1,1952,2,300,100,3,35000,0,3,367.3117985,6,7
1,2014,6,1,2,3,39.6,3,2,1,1,1955,2,310,240,2,16700,2000,3,398.5469418,3,6
1,2014,6,2,2,6,36.3,2,2,2,1,1950,4,400,200,2,10000,0,1,222.6126051,5,6
1,2016,4,1,2,2,108.9,3,2,1,2,1951,4,800,300,2,95500,10000,3,373.1486424,3,2
1,2017,1,3,2,8,33,3,2,2,1,1959,1,60,50,1,3000,0,2,161.421589,1,2
1,2017,6,2,2,4,9999999,3,3,1,1,1956,2,300,200,2,9999999,8000,4,326.6064652,2,3
1,2018,2,3,2,6,33,1,2,2,1,1963,2,190,190,1,3000,0,2,584.0747493,5,6
1,2018,5,1,2,3,79.2,3,2,1,2,1953,1,230,150,2,38000,0,2,273.4734065,3,5
1,2018,5,2,2,8,56.1,2,2,2,1,1950,1,180,130,2,7000,4500,2,174.7674996,5,6
1,2018,9,4,2,5,6.6,3,2,1,1,1958,1,60,50,2,0,1000,2,369.3400858,1,2
1,2018,9,4,2,9,6.6,2,1,1,1,1959,1,120,100,4,0,0,1,369.3400858,2,6
1,2019,2,2,2,2,52.8,3,2,2,1,1951,2,330,150,2,13600,0,3,295.5726936,2,6
1,2019,5,1,2,1,92.4,4,2,1,1,1950,3,210,150,3,20000,0,3,170.0407243,5,6
1,2020,2,4,2,7,26.4,3,3,1,1,1954,1,44,44,1,0,0,2,1705.693653,1,6
1,2020,6,1,2,7,42.9,3,2,1,1,1950,2,260,180,2,16500,0,2,300.7903219,3,6
1,2020,6,2,2,3,47.9,2,1,1,1,1953,1,30,50,2,22000,0,3,303.6085236,6,7
1,2020,9,4,2,7,5,2,3,1,1,1946,1,60,60,3,0,0,3,278.7473988,2,6
1,1980,1,1,2,8,59.4,1,2,1,1,1930,1,79,80,1,30000,0,1,222.724248,4,6
1,1989,5,1,2,8,36.3,2,2,1,1,1957,2,200,100,2,15500,6000,1,226.1133275,3,7
1,1990,2,1,2,8,125.4,1,1,1,1,1942,2,200,150,3,3600,0,1,277.216615,3,2
1,1992,2,1,2,8,49.5,3,2,1,2,1955,2,199,100,3,75000,27000,1,493.7993727,4,3
1,1993,4,2,2,7,59.4,3,2,1,1,1951,2,150,130,3,5300,0,2,349.8665833,1,8
1,1995,4,1,2,6,59.4,3,2,1,2,1954,2,280,220,2,58000,0,3,565.6825603,3,4
1,2001,4,1,2,5,105.6,3,2,1,2,1953,2,220,150,3,77700,0,4,546.9229585,3,2
1,2002,6,1,2,5,75.9,2,2,1,2,1956,2,150,120,2,32000,0,1,306.3230829,4,8
1,2003,2,1,2,8,75.9,2,1,1,2,1949,2,150,100,3,31700,0,3,277.216615,2,3
1,2003,6,1,2,5,72.6,3,2,1,1,1942,2,360,200,3,38000,0,2,231.1873686,3,5
1,2004,1,2,2,7,59.4,3,2,1,2,1957,1,300,250,2,17000,0,3,185.655608,7,3
1,2005,2,3,2,8,66,3,1,1,2,1953,2,350,200,2,3500,0,3,421.7062436,3,4
1,2005,4,1,2,4,84.8,3,2,1,1,1953,2,100,100,2,68800,0,3,565.6825603,3,6
1,2005,4,1,1,5,82.5,4,2,1,1,1952,2,279,190,2,150900,5120,3,289.9396347,4,3
1,2005,4,1,2,6,56.1,3,2,1,2,1952,3,530,300,3,66000,0,2,364.0160561,4,3
1,2010,2,3,2,8,33,3,2,1,1,1952,1,52,50,1,1500,0,3,510.0338148,1,6
1,2010,2,3,2,6,9999999,1,2,2,2,1955,2,150,90,2,500,0,2,435.7384955,2,1
1,2011,9,4,2,8,5,3,2,1,1,1961,1,70,30,1,0,0,2,369.3400858,1,2
1,2013,4,1,2,5,99,3,2,1,2,1955,2,250,220,2,66000,0,3,565.6825603,3,4
1,2014,2,1,2,7,59.4,3,2,1,2,1955,3,650,300,3,45000,0,4,339.9500449,2,3
1,2015,1,3,2,9,19.8,3,2,1,1,1954,1,190,80,2,1350,0,2,260.4105168,2,5
1,2015,5,1,2,6,62.7,4,2,1,2,1956,3,500,300,3,20000,0,3,160.8446532,3,2
1,2016,4,1,2,7,41.3,2,2,1,2,1951,1,100,90,2,35000,0,3,516.3522891,3,4
1,2016,4,3,2,6,42.9,3,2,2,1,1956,1,90,90,3,9999999,0,3,583.70107,2,7
1,2017,2,3,2,3,26.4,4,3,1,1,1952,1,225,140,3,500,0,4,301.5475896,6,10
1,2017,2,3,2,8,66,2,1,1,1,1955,5,570,300,2,2000,0,3,368.5825154,7,6
1,2017,2,3,2,7,23.1,2,3,1,1,1949,1,170,120,2,100,0,2,397.739979,6,5
1,2017,4,2,2,7,39.6,3,2,1,1,1948,1,65,60,1,20000,0,2,409.1144016,6,5
1,2017,4,2,2,5,39.6,3,2,2,1,1953,2,190,100,4,5860,0,3,354.4900425,3,4
1,2017,6,3,2,5,75.9,3,2,1,1,1953,2,240,150,1,5500,0,3,363.3881619,6,2
1,2017,6,1,2,8,59.4,2,2,1,1,1954,2,253,150,2,9999999,0,2,316.1367844,6,5
1,2018,1,2,2,5,62.7,3,3,1,2,1955,3,9999999,9999999,3,9999999,3000,3,173.5435589,3,2
1,2018,6,3,2,3,55.4,3,2,1,1,1959,4,500,250,2,13000,0,3,317.610955,6,5
1,2019,1,3,2,8,23.1,2,3,1,1,1945,1,52,50,2,100,0,2,190.2072202,1,6
1,2019,2,2,2,7,56.1,3,2,1,1,1944,3,577,250,1,15000,0,3,273.8830306,6,5
1,2019,2,2,2,4,13.2,3,2,1,1,1952,1,230,120,2,4800,0,3,489.423445,6,5
1,2019,4,2,1,6,85.8,3,2,1,2,1949,2,200,200,2,51000,0,3,267.5398123,6,7
1,2019,4,2,2,8,56.1,3,2,1,2,1941,1,89,65,2,21700,0,2,323.5767863,3,10
1,2020,2,2,2,7,26.1,3,1,1,1,1953,2,300,200,3,8500,0,2,301.0094811,2,6
1,2020,2,4,2,9,26.4,3,2,1,1,1959,2,300,150,3,0,0,3,1410.30191,6,2
1,1995,6,1,2,9,75.9,3,1,1,2,1957,2,220,150,4,42000,0,2,316.1367844,2,3
1,2001,2,3,2,8,42.9,3,1,1,1,1961,2,190,150,3,500,3000,2,324.1233167,3,2
1,2003,2,2,2,7,66,3,2,1,1,1956,3,330,200,1,13000,0,3,362.8948018,1,6
1,2003,6,1,2,5,49.5,3,2,1,1,1950,2,230,200,2,23300,0,3,300.7903219,3,6
1,2005,1,1,2,9,92.4,3,2,1,2,1952,2,182,100,2,25300,0,3,181.500794,3,4
1,2005,6,4,2,7,28.1,3,2,1,1,1955,1,150,100,3,9000,0,3,1422.479051,2,5
1,2007,2,3,2,8,26.4,2,3,1,1,1959,1,70,40,2,2000,0,1,392.3337037,6,5
1,2008,4,3,2,5,79.2,3,1,1,1,1954,5,240,200,1,2000,0,4,240.8198963,2,10
